"created_at","screen_name","text"
2021-08-06 14:54:02,"xrnxrxn","No offense but lulus seleksi CPNS 2021 dan jadi bagian klhk actually sucks. https://t.co/7dNhAbYouh"
2021-08-06 14:52:11,"Uswatun_Khs","Doakan aku keterima cpns tahun ini ya gaes <U+0001F64F> — Aamiin semangat ya https://t.co/tMixudmNzX"
2021-08-06 14:49:58,"indiehome_bdg","@Gulf44363851 @CPNS_BUMN Alasan TMS dari verifikatornya krn salah mengunggah dokumen, yg seharusnya kolom utk akreditasi kampus tetapi malah akreditasi prodi.
Kalau dokumen yg diupload sesuai persyaratan sih bisa sanggah aja kak."
2021-08-06 13:39:51,"indiehome_bdg","@Gulf44363851 @CPNS_BUMN Bantu jawab ya kak.
Itu maksudnya kalau cumlaude, akreditasi kampusnya harus A.
Jadi yg formasi umum juga tetep lampirin akreditasi kampus."
2021-08-06 14:48:15,"RyanRainaldi","@khalelulilo Cpns Argentina buka peluang rupa ny"
2021-08-06 14:14:37,"Guru_CPNS","@lapik_arca Biaa jadi <U+0001F601> masih antre dibales. <U+0001F601> Karena banyak pengajuan."
2021-08-06 00:12:15,"Guru_CPNS","Karena mereka yg buat kebijakan pendidikan. <U+0001F604> https://t.co/Lj1Pidan5Y"
2021-08-06 02:53:50,"Guru_CPNS","Jam 09:20 dikabari, jam 09:30 hrus sampai kantor. Untung aku jurus ngilang. <U+0001F60C>"
2021-08-06 03:09:43,"Guru_CPNS","@omnivorss Alhamdulillah. Mari bersyukur <U+0001F932>"
2021-08-06 14:47:35,"Guru_CPNS","@lookisloki Bulan oktober bu. <U+0001F60C> Baru bayangin aja kok pusing"
2021-08-06 02:54:21,"Guru_CPNS","Seting terjadi <U+0001F60C> https://t.co/5VFxJJCO1f"
2021-08-06 14:45:26,"Guru_CPNS","@lookisloki Boleh minta kisi2 latsarnya bu. <U+0001F60C>"
2021-08-06 14:46:05,"A21f10","@febridiansyah YAAA KLO GA LULUS GA USAH MAKSA
MALU SAMA MEREKA YG GAGAL TES CPNS &amp; TES LAINNYA YG GA PNY APA2 U/ MEMANFAATKAN SITUASI!!!!

PASCA ANTASARI AZHAR PRESTASI KPK APA???!!!"
2021-08-06 14:46:04,"hendry_MHC","Messi keluar dari Barca mau ikut Tes CPNS disinikah?"
2021-08-06 14:40:06,"radar_bengkulu","Ada 3.371 CPNS Kabupaten Kepahiang Lolos Pemberkasan https://t.co/nMH1NyFTL6"
2021-08-06 14:37:25,"turophilely","Anjirlah w kok lupa matematika semua woyy, kek berasa kopong otak w. Besok tes cpns gimana"
2021-08-06 14:37:09,"Siput001","@jokowi Pak jokowi saya hormati
Sampai kapan pandemi  ini berlangsung, banyak hal efek dari pandemi, mulai gk bisa jualan kemudian pengangguran, bayar kos telat, makan sehari harus 1 kali 
Mau daftar cpns tpi gak punya uang buat beli materai 10.000, bru kerja 1 hari malah kena covid."
2021-08-06 14:36:50,"7113qwertyuiop","Lama-lama jadi saling cerita juga. Kenapa atsumu ga mau jadi pns dan kenapa kita milih jadi pns, etc. Deep talk, lah. Bahas karir sama mimpi.

Tambah deket dan makin intens interaksi. 

Pokoknya cinta bersemi gara-gara persiapan cpns.

Alternate title: Jodohku Tetanggaku Sendiri."
2021-08-06 14:21:00,"7113qwertyuiop","Orang-orang follow gue buat konten bokep malah dapet konten romantisasi cpns season kaga jelas. Maaf adminnya sedang coping."
2021-08-06 13:46:50,"7113qwertyuiop","Suatu hari emaknya nyuruh atsumu silaturahmi ke rumah kita. Buat transfer knowledge sekalian pinjem buku latihan cpns katanya.

Atsumu tentunya ngomel. Jaman sekarang banyak kali latihan soal online. Kenapa harus ke rumah tetangga segala."
2021-08-06 13:41:55,"7113qwertyuiop","Berhubung cpns season, tolong seseorang bikin au dimana atsumu berantem sama emaknya perkara disuruh cat rambut jadi item kayak osamu biar bisa daftar cpns."
2021-08-06 14:32:41,"7113qwertyuiop","Udah, biar cepet.

Pokoknya entar atsumu jadi deket sama kita gara-gara prep cpns. Kita nawarin jadi tutor tiap mereka berdua sama-sama free. Yang awalnya cuma tutor di rumah, lama-lama atsumu ajak jalan keluar juga. Namanya juga modus."
2021-08-06 14:35:57,"titimarit1","Messi keliatannya mau fokus CPNS"
